WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
06/09/2018,Europe,Akrotiri and Dhekelia,Akrotiri,Protests,Peaceful protest,1,0,183,Demonstrations,4120,34.6,32.9586
02/19/2022,Europe,Akrotiri and Dhekelia,Akrotiri,Protests,Peaceful protest,1,0,193,Demonstrations,4120,34.6,32.9586
05/28/2022,Europe,Akrotiri and Dhekelia,Akrotiri,Protests,Peaceful protest,1,0,89,Demonstrations,4120,34.6,32.9586
01/13/2024,Europe,Akrotiri and Dhekelia,Akrotiri,Protests,Peaceful protest,1,0,197,Demonstrations,4120,34.6,32.9586
09/28/2024,Europe,Akrotiri and Dhekelia,Akrotiri,Protests,Peaceful protest,1,0,197,Demonstrations,4120,34.6,32.9586
12/02/2023,Europe,Akrotiri and Dhekelia,Akrotiri,Strategic developments,Change to group/activity,1,0,,Strategic developments,4120,34.6,32.9586
01/06/2024,Europe,Akrotiri and Dhekelia,Akrotiri,Strategic developments,Change to group/activity,1,0,,Strategic developments,4120,34.6,32.9586
02/07/2026,Europe,Akrotiri and Dhekelia,Akrotiri,Strategic developments,Change to group/activity,1,0,,Strategic developments,4120,34.6,32.9586
01/16/2021,Europe,Akrotiri and Dhekelia,Dhekelia,Protests,Peaceful protest,1,0,151,Demonstrations,4119,35.0206,33.758
01/23/2021,Europe,Akrotiri and Dhekelia,Dhekelia,Protests,Peaceful protest,1,0,151,Demonstrations,4119,35.0206,33.758
07/08/2023,Europe,Akrotiri and Dhekelia,Dhekelia,Protests,Peaceful protest,1,0,82,Demonstrations,4119,35.0206,33.758
02/15/2025,Europe,Akrotiri and Dhekelia,Dhekelia,Protests,Peaceful protest,1,0,82,Demonstrations,4119,35.0206,33.758
08/30/2025,Europe,Akrotiri and Dhekelia,Dhekelia,Protests,Peaceful protest,1,0,902,Demonstrations,4119,35.0206,33.758
01/31/2026,Europe,Akrotiri and Dhekelia,Dhekelia,Protests,Peaceful protest,1,0,,Demonstrations,4119,35.0206,33.758
09/18/2021,Europe,Akrotiri and Dhekelia,Dhekelia,Riots,Mob violence,1,0,429,Political violence,4119,35.0206,33.758
01/26/2019,Europe,Akrotiri and Dhekelia,Dhekelia,Strategic developments,Change to group/activity,1,0,,Strategic developments,4119,35.0206,33.758
01/18/2020,Europe,Akrotiri and Dhekelia,Dhekelia,Strategic developments,Change to group/activity,1,0,,Strategic developments,4119,35.0206,33.758
02/10/2024,Europe,Akrotiri and Dhekelia,Dhekelia,Strategic developments,Change to group/activity,1,0,,Strategic developments,4119,35.0206,33.758
05/15/2021,Europe,Albania,Berat,Protests,Excessive force against protesters,1,0,329,Political violence; Demonstrations,35,40.6567,20.088
05/05/2018,Europe,Albania,Berat,Protests,Peaceful protest,1,0,8043,Demonstrations,35,40.6567,20.088
12/08/2018,Europe,Albania,Berat,Protests,Peaceful protest,1,0,8043,Demonstrations,35,40.6567,20.088
03/02/2019,Europe,Albania,Berat,Protests,Peaceful protest,1,0,2,Demonstrations,35,40.6567,20.088
03/23/2019,Europe,Albania,Berat,Protests,Peaceful protest,1,0,13,Demonstrations,35,40.6567,20.088
06/08/2019,Europe,Albania,Berat,Protests,Peaceful protest,1,0,13,Demonstrations,35,40.6567,20.088
06/22/2019,Europe,Albania,Berat,Protests,Peaceful protest,1,0,7874,Demonstrations,35,40.6567,20.088
08/03/2019,Europe,Albania,Berat,Protests,Peaceful protest,2,0,7901,Demonstrations,35,40.6567,20.088
08/10/2019,Europe,Albania,Berat,Protests,Peaceful protest,1,0,27,Demonstrations,35,40.6567,20.088
08/24/2019,Europe,Albania,Berat,Protests,Peaceful protest,2,0,40,Demonstrations,35,40.6567,20.088
10/05/2019,Europe,Albania,Berat,Protests,Peaceful protest,1,0,7874,Demonstrations,35,40.6567,20.088
04/18/2020,Europe,Albania,Berat,Protests,Peaceful protest,1,0,7673,Demonstrations,35,40.6567,20.088
05/02/2020,Europe,Albania,Berat,Protests,Peaceful protest,2,0,7733,Demonstrations,35,40.6567,20.088
05/23/2020,Europe,Albania,Berat,Protests,Peaceful protest,2,0,7673,Demonstrations,35,40.6567,20.088
06/06/2020,Europe,Albania,Berat,Protests,Peaceful protest,1,0,7673,Demonstrations,35,40.6567,20.088
03/20/2021,Europe,Albania,Berat,Protests,Peaceful protest,4,0,10667,Demonstrations,35,40.6567,20.088
04/17/2021,Europe,Albania,Berat,Protests,Peaceful protest,1,0,7456,Demonstrations,35,40.6567,20.088
07/31/2021,Europe,Albania,Berat,Protests,Peaceful protest,1,0,329,Demonstrations,35,40.6567,20.088
10/16/2021,Europe,Albania,Berat,Protests,Peaceful protest,1,0,1631,Demonstrations,35,40.6567,20.088
12/18/2021,Europe,Albania,Berat,Protests,Peaceful protest,1,0,58,Demonstrations,35,40.6567,20.088
03/05/2022,Europe,Albania,Berat,Protests,Peaceful protest,1,0,7180,Demonstrations,35,40.6567,20.088
01/10/2026,Europe,Albania,Berat,Protests,Peaceful protest,1,0,6195,Demonstrations,35,40.6567,20.088
01/31/2026,Europe,Albania,Berat,Protests,Peaceful protest,1,0,,Demonstrations,35,40.6567,20.088
05/02/2020,Europe,Albania,Berat,Protests,Protest with intervention,1,0,60,Demonstrations,35,40.6567,20.088
07/31/2021,Europe,Albania,Berat,Protests,Protest with intervention,1,0,329,Demonstrations,35,40.6567,20.088
06/15/2019,Europe,Albania,Berat,Riots,Mob violence,1,0,13254,Political violence,35,40.6567,20.088
04/27/2019,Europe,Albania,Berat,Riots,Violent demonstration,1,0,13254,Demonstrations,35,40.6567,20.088
07/31/2021,Europe,Albania,Berat,Riots,Violent demonstration,1,0,741,Demonstrations,35,40.6567,20.088
01/19/2019,Europe,Albania,Berat,Strategic developments,Change to group/activity,1,0,,Strategic developments,35,40.6567,20.088
03/27/2021,Europe,Albania,Berat,Strategic developments,Looting/property destruction,1,0,,Strategic developments,35,40.6567,20.088
08/20/2022,Europe,Albania,Berat,Strategic developments,Other,1,0,,Strategic developments,35,40.6567,20.088
06/23/2018,Europe,Albania,Diber,Protests,Peaceful protest,1,0,1366,Demonstrations,36,41.6084,20.186
07/07/2018,Europe,Albania,Diber,Protests,Peaceful protest,1,0,1366,Demonstrations,36,41.6084,20.186
07/14/2018,Europe,Albania,Diber,Protests,Peaceful protest,1,0,1366,Demonstrations,36,41.6084,20.186
07/21/2018,Europe,Albania,Diber,Protests,Peaceful protest,1,0,1366,Demonstrations,36,41.6084,20.186
12/08/2018,Europe,Albania,Diber,Protests,Peaceful protest,2,0,12511,Demonstrations,36,41.6084,20.186
01/26/2019,Europe,Albania,Diber,Protests,Peaceful protest,2,0,18570,Demonstrations,36,41.6084,20.186
02/02/2019,Europe,Albania,Diber,Protests,Peaceful protest,1,0,1332,Demonstrations,36,41.6084,20.186
04/27/2019,Europe,Albania,Diber,Protests,Peaceful protest,1,0,183,Demonstrations,36,41.6084,20.186
07/27/2019,Europe,Albania,Diber,Protests,Peaceful protest,1,0,7702,Demonstrations,36,41.6084,20.186
08/03/2019,Europe,Albania,Diber,Protests,Peaceful protest,1,0,1300,Demonstrations,36,41.6084,20.186
11/02/2019,Europe,Albania,Diber,Protests,Peaceful protest,1,0,7,Demonstrations,36,41.6084,20.186
10/03/2020,Europe,Albania,Diber,Protests,Peaceful protest,1,0,7484,Demonstrations,36,41.6084,20.186
04/10/2021,Europe,Albania,Diber,Protests,Peaceful protest,2,0,11415,Demonstrations,36,41.6084,20.186
05/29/2021,Europe,Albania,Diber,Protests,Peaceful protest,1,0,1248,Demonstrations,36,41.6084,20.186
03/12/2022,Europe,Albania,Diber,Protests,Peaceful protest,1,0,1206,Demonstrations,36,41.6084,20.186
05/14/2022,Europe,Albania,Diber,Protests,Peaceful protest,1,0,41,Demonstrations,36,41.6084,20.186
06/15/2019,Europe,Albania,Diber,Riots,Mob violence,2,0,12805,Political violence,36,41.6084,20.186
06/16/2018,Europe,Albania,Diber,Riots,Violent demonstration,1,0,17879,Demonstrations,36,41.6084,20.186
06/22/2019,Europe,Albania,Diber,Riots,Violent demonstration,1,0,17440,Demonstrations,36,41.6084,20.186
10/26/2019,Europe,Albania,Diber,Riots,Violent demonstration,1,0,12,Demonstrations,36,41.6084,20.186
06/01/2019,Europe,Albania,Diber,Strategic developments,Looting/property destruction,1,0,,Strategic developments,36,41.6084,20.186
08/21/2021,Europe,Albania,Diber,Strategic developments,Looting/property destruction,1,0,,Strategic developments,36,41.6084,20.186
06/29/2019,Europe,Albania,Diber,Violence against civilians,Attack,1,0,17440,Political violence,36,41.6084,20.186
01/22/2022,Europe,Albania,Durres,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,103869,Political violence,37,41.4352,19.6217
06/09/2018,Europe,Albania,Durres,Protests,Peaceful protest,1,0,16144,Demonstrations,37,41.4352,19.6217
10/27/2018,Europe,Albania,Durres,Protests,Peaceful protest,1,0,420,Demonstrations,37,41.4352,19.6217
11/03/2018,Europe,Albania,Durres,Protests,Peaceful protest,1,0,420,Demonstrations,37,41.4352,19.6217
12/01/2018,Europe,Albania,Durres,Protests,Peaceful protest,2,0,16144,Demonstrations,37,41.4352,19.6217
