WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
02/06/2016,Middle East,Bahrain,Capital,Battles,Armed clash,1,0,69821,Political violence,285,26.1927,50.5508
06/25/2016,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,5568,Political violence,285,26.1927,50.5508
02/11/2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,2,0,4084,Political violence,285,26.1927,50.5508
02/18/2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,4084,Political violence,285,26.1927,50.5508
08/12/2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,4084,Political violence,285,26.1927,50.5508
09/30/2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,12033,Political violence,285,26.1927,50.5508
10/21/2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,7080,Political violence,285,26.1927,50.5508
07/01/2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,20331,Political violence,285,26.1927,50.5508
03/05/2016,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,4853,Political violence; Demonstrations,285,26.1927,50.5508
03/26/2016,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,2,0,38447,Political violence; Demonstrations,285,26.1927,50.5508
01/07/2017,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,4744,Political violence; Demonstrations,285,26.1927,50.5508
03/25/2017,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,7574,Political violence; Demonstrations,285,26.1927,50.5508
05/12/2018,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,4908,Political violence; Demonstrations,285,26.1927,50.5508
07/27/2019,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,1,26841,Political violence; Demonstrations,285,26.1927,50.5508
11/19/2022,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,35723,Political violence; Demonstrations,285,26.1927,50.5508
02/10/2024,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,3026,Political violence; Demonstrations,285,26.1927,50.5508
12/26/2015,Middle East,Bahrain,Capital,Protests,Peaceful protest,3,0,38207,Demonstrations,285,26.1927,50.5508
01/02/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,29,0,215598,Demonstrations,285,26.1927,50.5508
01/09/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,22,0,191938,Demonstrations,285,26.1927,50.5508
01/16/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,7,0,64240,Demonstrations,285,26.1927,50.5508
01/23/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,12,0,144622,Demonstrations,285,26.1927,50.5508
01/30/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,19,0,140170,Demonstrations,285,26.1927,50.5508
02/06/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,32,0,241253,Demonstrations,285,26.1927,50.5508
02/13/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,30,0,176224,Demonstrations,285,26.1927,50.5508
02/20/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,16,0,155041,Demonstrations,285,26.1927,50.5508
02/27/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,29,0,197725,Demonstrations,285,26.1927,50.5508
03/05/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,16,0,167422,Demonstrations,285,26.1927,50.5508
03/12/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,13,0,146809,Demonstrations,285,26.1927,50.5508
03/19/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,8,0,92932,Demonstrations,285,26.1927,50.5508
03/26/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,12,0,96480,Demonstrations,285,26.1927,50.5508
04/02/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,21,0,143253,Demonstrations,285,26.1927,50.5508
